Title,Link,,,,,,,,
"Learning Swift, 3rd Edition",https://pan.baidu.com/s/1gjRIYChoR5j14v9Xh6cJYQ,,,,,,,,
,,,,,,,,,
Get Programming with Go,https://pan.baidu.com/s/1hDVEiSu85qPwMMfkh4Ee0A,,,,,,,,
,,,,,,,,,
Technology Strategy Patterns,https://pan.baidu.com/s/1XxNd72-2Z0LzxrnFcZ5jyw,,,,,,,,
,,,,,,,,,
Agile for Everybody,https://pan.baidu.com/s/19J4htvkcF2QRa1Ad2B2heg,,,,,,,,
,,,,,,,,,
Data Wrangling with JavaScript,https://pan.baidu.com/s/1CCrnHtWgysIfDYObCZTatg,,,,,,,,
,,,,,,,,,
"R Graphics Cookbook, 2nd Edition",https://pan.baidu.com/s/1NPyxppEPKmmtwQnaBA_3-g,,,,,,,,
,,,,,,,,,
Network Programmability and Automation,https://pan.baidu.com/s/16RlX5KxaUsjIjENiSn2pxQ,,,,,,,,
,,,,,,,,,
Deep Learning in Natural Language Processing,https://pan.baidu.com/s/1jqJAlUhtcIjr3GaZ0BlE8w,,,,,,,,
,,,,,,,,,
Linux in Action,https://pan.baidu.com/s/1NiW_VNh0J2YVS_-s48wYYQ,,,,,,,,
,,,,,,,,,
Impractical Python Projects,https://pan.baidu.com/s/1KZt86KcN7-dFsxYoQ-KXEg,,,,,,,,
,,,,,,,,,
Jenkins 2: Up and Running,https://pan.baidu.com/s/1vwwQwd_p-jMx3ofWCB-fJA,,,,,,,,
,,,,,,,,,
Microservices Patterns,https://pan.baidu.com/s/1AP35ZdtMiIUHsziyN3juhA,,,,,,,,
,,,,,,,,,
Thoughtful Data Science,https://pan.baidu.com/s/1f23e5q1k6p5bc8Uv0Bf_Xw,,,,,,,,
,,,,,,,,,
Cloud Native Infrastructure,https://pan.baidu.com/s/14H0qqMA_boj9XJKUd5tMYQ,,,,,,,,
,,,,,,,,,
AWS System Administration,https://pan.baidu.com/s/1NidSk3aMbeYc3kCCI_Argw,,,,,,,,
,,,,,,,,,
"Digital Image Processing, 4th Global Edition",https://pan.baidu.com/s/10cW3e7_QQE8RaZtnwJe5VQ,,,,,,,,
,,,,,,,,,
Mastering TensorFlow 1.x,https://pan.baidu.com/s/1UDPARmGnQS9WdvBK6QADmg,,,,,,,,
,,,,,,,,,
Testing Angular Applications,https://pan.baidu.com/s/1QJE3jb0zg2xumjD9sJkENQ,,,,,,,,
,,,,,,,,,
Linux for Developers,https://pan.baidu.com/s/1mbefbgs3JhHhRmEysiZYEw,,,,,,,,
,,,,,,,,,
iOS 12 Programming Fundamentals with Swift,https://pan.baidu.com/s/1TDQc9nFTNAnCj8IEBcIUYw,,,,,,,,
,,,,,,,,,
"Think Complexity, 2nd Edition",https://pan.baidu.com/s/1qeKrKyCwO69sHLZC7B-nsA,,,,,,,,
,,,,,,,,,
Programming iOS 12,https://pan.baidu.com/s/1Ar6mJ49KNoix2y4aOlH2UQ,,,,,,,,
,,,,,,,,,
Mission Python,https://pan.baidu.com/s/1tmEUFAFD4MOCobot2dQ_fw,,,,,,,,
,,,,,,,,,
"iOS Swift Game Development Cookbook, 3rd Edition",https://pan.baidu.com/s/15XBT2kD7njCVuvzWvzmKyg,,,,,,,,
,,,,,,,,,
101 UX Principles,https://pan.baidu.com/s/1RW6tbfrDn-1myC9d3nfzDw,,,,,,,,
,,,,,,,,,
Learning Malware Analysis,https://pan.baidu.com/s/1-TQHyQBps_E-ONzMDANB6Q,,,,,,,,
,,,,,,,,,
Deploying to OpenShift,https://pan.baidu.com/s/1WzdPjhgFN2sLzPl39urOuA,,,,,,,,
,,,,,,,,,
Learning Perl 6,https://pan.baidu.com/s/19_FeYUE-ez0dZYvDZHKn-w,,,,,,,,
,,,,,,,,,
Effective SQL,https://pan.baidu.com/s/18JqJb2Zt9qmrJU9Ot1cpcA,,,,,,,,
,,,,,,,,,
iOS and macOS Performance Tuning,https://pan.baidu.com/s/1DdDLrvSwMGLYIgkYccsPfw,,,,,,,,
,,,,,,,,,
"Absolute FreeBSD, 3rd Edition",https://pan.baidu.com/s/1nJuAploMT-TCuVfMbIM2AQ,,,,,,,,
,,,,,,,,,
Mastering Azure Analytics,https://pan.baidu.com/s/1DMIZ5Kr1p7Rbc9E2kz6W6A,,,,,,,,
,,,,,,,,,
Designing with Data,https://pan.baidu.com/s/1NQNs2fBZaK3FyYHn7D2jQg,,,,,,,,
,,,,,,,,,
Efficient R Programming,https://pan.baidu.com/s/1iHbAvCCoerc_rrqT2a9HVw,,,,,,,,
,,,,,,,,,
Product Roadmaps Relaunched,https://pan.baidu.com/s/1lpn28BUn8WdP1LA_TGDXlg,,,,,,,,
,,,,,,,,,
"Head First PMP, 4th Edition",https://pan.baidu.com/s/1O8avj25GmtUUjWKj8r5hdQ,,,,,,,,
,,,,,,,,,
Microservices in Action,https://pan.baidu.com/s/1spapgZwerKKBLG2OWoHPgw,,,,,,,,
,,,,,,,,,
Electron in Action,https://pan.baidu.com/s/1QNvFUXtvWGmJpx81YExmmw,,,,,,,,
,,,,,,,,,
"Spring in Action, 5th Edition",https://pan.baidu.com/s/1zmOg5DP6WQdH9pLVFZ68cQ,,,,,,,,
,,,,,,,,,
Modern Java in Action,https://pan.baidu.com/s/18DZMskCSoIm2ZC0TXABaRw,,,,,,,,
,,,,,,,,,
"Computer Systems: A Programmer��s Perspective, 3rd Global Edition",https://pan.baidu.com/s/16t560VIUsRvVxGueN_M1cg,,,,,,,,
,,,,,,,,,
"A Tour of C++, 2nd Edition",https://pan.baidu.com/s/1cCMT2M6PVqVT4Ltb836S2g,,,,,,,,
,,,,,,,,,
Learning Kali Linux,https://pan.baidu.com/s/1pzesYcmeVlV4Cs01VOeqFw,,,,,,,,
,,,,,,,,,
Data Structures and Algorithms in Swift,https://pan.baidu.com/s/1ctBfVEiHMgUJO1PB599eww,,,,,,,,
,,,,,,,,,
"Amazon Web Services in Action, 2nd Edition",https://pan.baidu.com/s/1FFCYfd9fo14cqe4D49bRKA,,,,,,,,
,,,,,,,,,
Fullstack Vue,https://pan.baidu.com/s/1c4fvMoYp9W2A3GIjasBI-g,,,,,,,,
,,,,,,,,,
Mastering Modular JavaScript,https://pan.baidu.com/s/1gkfLC1IAD64GSbAM6iQhyA,,,,,,,,
,,,,,,,,,
Pentesting Azure Applications,https://pan.baidu.com/s/1cQDqurEfOc9qiMGXYYG8LQ,,,,,,,,
